year,department_code,department_name,geo_code,lat,lon,ps_tavg_c,ps_tmin_c,ps_tmax_c,ps_prcp_mm,ps_et0_mm,ps_ndvi_modis_med,ps_ndvi_s2_med,ps_ndvi_copernicus_med,ps_ndvi_fused,ndvi_source,s2_scene_count_ps,ps_s2_cloud_med,modis_coverage,s2_coverage,fused_coverage,clay_g_kg,sand_g_kg,silt_g_kg,phh2o,soc_dg_kg,yield_t_ha,yield_source,n_missing_features,has_yield,spring_prcp_mm,spring_tavg_c,gdd_sum,summer_prcp_mm,summer_tavg_c,gdd_mar_jul,drought_spring_flag
2010,01,Ain,FR_01,46.105,5.2995,8.747904055818701,4.859467901113934,12.84252506684492,790.5999999999999,0.0,0.3321,,0.3321,0.3321,modis,,,1,0,1,222.0,257.0,520.0,66.0,579.0,7.196,agreste_saa,3,1,584.5,10.984319336477128,67.510080541371,301.6,20.601894599303137,74.15674720803766,0
2011,01,Ain,FR_01,46.105,5.2995,10.934269637324586,6.937963793933228,15.431084069586596,752.3,0.0,0.4136499999999999,,0.4136499999999999,0.4136499999999999,modis,,,1,0,1,222.0,257.0,520.0,66.0,579.0,6.981999999999999,agreste_saa,3,1,247.40000000000003,13.482106471115094,69.33469784274912,539.8,18.60133207184478,77.64898355703484,0
2012,01,Ain,FR_01,46.105,5.2995,10.288721879903386,6.697878835379456,14.151222512810085,1186.0,0.0,0.4760999999999999,,0.4760999999999999,0.4760999999999999,modis,,,1,0,1,222.0,257.0,520.0,66.0,579.0,6.696,agreste_saa,3,1,580.8,12.127890132397049,66.46879365079364,529.7,20.00546485260771,76.39460010240654,0
2013,01,Ain,FR_01,46.105,5.2995,9.962038947761169,6.4515215597376345,13.820559529184552,1045.3,0.0,0.4124,,0.4124,0.4124,modis,,,1,0,1,222.0,257.0,520.0,66.0,579.0,6.197,agreste_saa,3,1,951.6,9.616654181205346,63.34047311827957,356.6,20.191612903225806,69.23318835006765,0
2014,01,Ain,FR_01,46.105,5.2995,11.458748065335143,7.750934780831713,15.691084359393209,1020.2,0.0,0.39025,,0.39025,0.39025,modis,,,1,0,1,222.0,257.0,520.0,66.0,579.0,7.186,agreste_saa,3,1,462.0,11.905932345388868,66.55029667736676,573.1,19.86108677712182,75.43997059041024,0
2015,01,Ain,FR_01,46.105,5.2995,10.199045177961157,6.096755448365991,15.037518319356591,682.7,0.0,0.3859,,,0.3859,modis,,,1,0,1,222.0,257.0,520.0,66.0,579.0,7.191,agreste_saa,4,1,502.7,12.148535309503051,73.87697040862363,234.2,22.757033591408597,81.95967311132634,0
2016,01,Ain,FR_01,46.105,5.2995,9.51300058427186,5.807262649817295,13.751701228340574,594.3,0.0,0.33445,,,0.33445,modis,,,1,0,1,222.0,257.0,520.0,66.0,579.0,5.497999999999999,agreste_saa,4,1,708.7,10.40365209471767,64.86385413740362,442.9,20.081093735368484,71.37314375488997,0
2017,01,Ain,FR_01,46.105,5.2995,9.314126569351837,5.309686045029613,13.896373743546894,621.7,0.0,0.3974499999999999,,,0.3974499999999999,modis,,,1,0,1,222.0,257.0,520.0,66.0,579.0,7.397,agreste_saa,4,1,484.6,12.333957069075671,70.45552520020304,292.70000000000005,21.76412429378531,80.53011979479763,0
2018,01,Ain,FR_01,46.105,5.2995,11.329439600891211,7.229626544997021,15.818954348570122,555.8,0.0,0.3591999999999999,0.2149534838931991,,0.2149534838931991,s2,34.0,14.4357875,1,1,1,222.0,257.0,520.0,66.0,579.0,6.699,agreste_saa,1,1,604.8,12.409117143387236,74.15095358069935,413.6,21.8075,80.84235143016171,0
2019,01,Ain,FR_01,46.105,5.2995,11.18039173555752,7.4300068670427635,15.378510517461834,998.1,0.0,0.42825,0.3271756054871742,,0.3271756054871742,s2,24.0,22.54818225,1,1,1,222.0,257.0,520.0,66.0,579.0,7.897,agreste_saa,1,1,426.2,11.03657004830918,68.25968599033817,381.9,22.06520531400966,77.24012077294685,0
2020,01,Ain,FR_01,46.105,5.2995,10.574003438922794,6.629479156122415,14.880757372541082,829.5,0.0,0.3365,0.2874203375804188,,0.2874203375804188,s2,21.0,9.7953465,1,1,1,222.0,257.0,520.0,66.0,579.0,6.381,agreste_saa,1,1,443.3,12.746286816269285,70.84729390681004,295.70000000000005,20.45122759856631,79.14131564594047,0
2021,01,Ain,FR_01,46.105,5.2995,9.650909498207884,5.880264336917563,13.76700716845878,1125.8,0.0,0.37635,0.384044486990567,,0.384044486990567,s2,25.0,12.48851675,1,1,1,222.0,257.0,520.0,66.0,579.0,6.798,agreste_saa,1,1,699.7,10.192694145758662,63.36582437275986,777.6,20.19521505376344,70.96851254480286,0
2022,01,Ain,FR_01,46.105,5.2995,12.042656810035842,8.37478494623656,16.249475806451613,1167.8,0.0,0.5782,0.2472420626752478,,0.2472420626752478,s2,38.0,27.673233,1,1,1,222.0,257.0,520.0,66.0,579.0,6.593999999999999,agreste_saa,1,1,254.7,12.73006571087216,74.81704301075268,563.4,22.71826164874552,83.62672043010753,0
2023,01,Ain,FR_01,46.105,5.2995,12.34711917562724,8.158118279569893,17.116209677419356,1713.1999999999998,0.0,0.4087,0.2305918116520353,,0.2305918116520353,s2,60.0,5.2202645,1,1,1,222.0,257.0,520.0,66.0,579.0,6.994,agreste_saa,1,1,560.7,11.837771804062127,70.91028673835125,533.2,22.20413082437276,79.9215770609319,0
2024,01,Ain,FR_01,46.105,5.2995,10.294820788530467,6.914840162743388,14.228878233071782,1515.9,0.0,0.4712499999999999,0.1828127832463595,,0.1828127832463595,s2,15.0,15.8838005,1,1,1,222.0,257.0,520.0,66.0,579.0,5.287,agreste_saa,1,1,1040.2,12.108590203106331,68.05356630824373,536.8,20.78325268817204,77.89227598566308,0
